Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1175012480;147994069,137075;321,2198;25,4753;11;362,839;False
2;1527900416;188809901,890907;320,1231;18,21675;13;409,5221;False
3;924617472;196639505,697489;270,9199;18,24908;12;410,4948;False
4;2406011648;434496971,640137;373,334;18,36154;12;365,0769;False
5;3879147776;711899735,646826;463,3647;22,44772;11;379,0317;False
6;2657956352;447342044,629332;403,5593;21,44807;12;343,1624;False
7;2467475968;755902216,558401;399,9218;22,75562;12;389,568;False
8;4296492544;622727908,628769;496,4914;25,82782;10;361,9037;False
9;3760557312;727575202,247938;462,658;23,22418;10;362,8582;False
10;4924477440;1247678219,72053;503,3717;22,73105;10;371,5103;False
11;2406981888;448896239,160473;375,9195;18,77887;11;364,3597;False
12;3437075712;911390972,3;435,1331;20,65631;9;348,2961;False
13;3589349632;607718672,43125;436,5737;19,85907;9;348,6712;False
14;4040832512;689855400,945105;466,0305;21,79199;9;349,3521;False
15;5412183040;1062534825,03842;527,2;24,08795;10;351,2836;False
16;13750095872;1293685859,48625;547;20,71124;10;350,0063;True
17;3837115904;1125312769,29909;432,0817;17,80493;11;347,7505;False
18;6084853248;918816853,491021;528,2357;20,91785;10;353,4297;False
19;1649061760;302246157,494164;318,2421;16,49622;11;351,8118;False
20;13102927872;1017025519,87666;547;22,32544;10;347,4072;True
21;13453550592;1278424380,0538;547;21,41455;11;349,1518;True
22;3369565440;859390420,175977;431,8923;20,59259;11;346,5061;False
23;2850531072;506035495,664063;432,1956;25,61926;11;349,0023;False
24;1830732032;484348550,629059;320,8662;15,2373;11;349,8169;False
25;4359939584;804417188,889416;495,8658;25,17151;10;347,2571;False
26;4923984384;906866020,842261;497,5739;21,75989;11;348,9022;False
27;757829760;294905748,94823;247,3702;16,8689;11;350,5972;False
28;1494681472;296330955,836061;348,5244;25,62219;10;351,1396;False
29;3036285952;725582081,99835;436,1624;24,39148;12;353,21;False
30;3120174080;684885600,235156;432,9097;22,84595;12;353,4999;False
