Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;2476432128;412208897,546627;402,6396;23,25169;12;316,5489;False
2;4937710592;1040032667,79635;496,8501;21,56841;13;278,0535;False
3;12296401920;1489867244,15906;547;24,82836;13;290,8884;True
4;2879579136;691834740,632617;408,4183;20,33742;12;290,9957;False
5;3805588480;822335259,258887;435,349;18,41255;12;287,4245;False
6;3579603456;1166633543,82891;431,9696;19,2074;12;278,761;False
7;13774674944;1496935587,2375;547;20,65546;13;281,318;True
8;4751915520;1536633882,21875;496,8669;22,63391;12;269,9558;False
9;5610601984;1538231078,7;527,425;23,01331;12;266,3279;False
10;13508491264;2306305905,6;547;21,27988;12;276,8;True
11;13754735616;2462324539,18871;547;20,70068;13;291,4766;True
12;12897349632;2585258907,2;547;22,90479;13;295,6186;True
13;5547257856;1831707817,6;530,5013;23,8985;13;304,6377;False
14;4657795584;1951534534;498,063;23,44476;14;281,6495;False
15;5093328896;1905859780;529,5112;26,69098;14;306,8182;False
16;4642494464;1718013859,4126;496,286;23,21838;14;295,6297;False
17;13506898944;4006516257,9;547;21,28375;12;305,3893;True
18;4439101440;2351402966,4;495,643;24,51404;13;317,1371;False
19;5128262656;2358720977,6;528,2106;26,1524;14;315,2132;False
20;13531839488;2566720662,4;547;21,22327;14;315,8713;True
21;5120122880;2887393966,4;534,0121;27,48877;14;314,4438;False
22;13832669184;3388981997,6;547;20,52527;13;296,0276;True
23;13192531968;3061755427,2;547;22,0838;14;299,0116;True
24;13873938432;3928969809,6;547;20,43384;13;314,1245;True
25;12730728448;3154487231,76875;547;23,40173;12;296,0906;True
26;13706848256;3859702114,79371;547;20,8103;12;297,1195;True
27;13687138304;2916168142,4;547;20,85583;12;310,9991;True
28;12058031104;3067684671,15156;547;25,7041;13;297,739;True
29;5594185216;2120992938,61582;528,1966;23,23267;12;311,3271;False
30;13544386560;2040685094,03984;547;21,19299;12;309,9366;True
