Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;2413690112;278782132,873892;403,5729;24,27691;12;339,3437;False
2;1409624320;297312752,871215;323,557;20,71732;13;284,0844;False
3;13587076096;1603311206,74866;547;21,09078;13;351,3716;True
4;1720899712;423819711,475996;349,1803;21,46138;13;351,3716;False
5;4344471552;1379252217,97283;464,3995;19,7314;13;352,3124;False
6;2555679488;799500780,824043;404,982;22,83159;12;285,4763;False
7;1871531776;332103700,176675;345,6062;18,76613;14;370,2357;False
8;11129759744;1514402620,65732;547;29,95694;14;371,4032;True
9;12299898880;1346499692,60138;547;24,81604;14;354,7325;True
10;2660114944;858064542,88809;408,3639;22,39597;14;356,894;False
11;12592900096;1494093239,9196;547;23,83289;14;354,1809;True
12;3461065472;976174963,119458;462,3083;25,90884;13;367,068;False
13;4851612160;1272932479,87685;496,5604;21,99658;13;367,068;False
14;5410763264;1477869819,35283;529,3187;24,48969;13;356,0823;False
15;11721523200;2240814736,90861;547;27,07385;12;351,4611;True
16;4892283392;1923291526,26974;523,5736;26,94159;13;354,4543;False
17;4479600128;1356103023,24961;500,6902;25,24023;13;353,3824;False
18;12865689600;3260601189,38288;547;22,99725;13;351,6671;True
19;12817038336;1989960395,20225;547;23,14111;13;352,3776;True
20;13069874176;1976310084,69219;547;22,4162;13;357,4113;True
21;13231972352;2473637528,26719;547;21,97943;12;354,5247;True
22;13637068800;3169820895,78828;547;20,9726;14;354,1501;True
23;7709664256;1983999207,20194;603,0115;25,77094;14;355,0342;False
24;13231484928;1899815370,81225;547;21,98071;13;356,0187;True
25;13735571456;3266117232,2959;547;20,74438;13;356,483;True
26;13687559168;2043587021,01133;547;20,85486;13;355,1486;True
27;13133533184;3429560790,4;547;22,24219;11;350,4489;True
28;14168242176;3473087901,40625;547;19,80957;11;350,4489;True
29;4961912832;1585384947,775;525,8768;26,90381;13;357,7973;False
30;12517171200;1909405035,88736;547;24,078;13;357,7973;True
