Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1955648256;589180801,142752;913,7347;43,07968;11;321,6186;False
2;1848469632;648881811,940402;936,4341;46,4032;13;331,0388;False
3;2108197248;926186571,197201;929,6224;42,53632;11;330,0469;False
4;2127854592;894997431,821777;1082,988;56,99307;12;331,0997;False
5;2290537216;1159760120,35823;919,7671;40,06409;11;263,3098;False
6;2500070912;1644350652,8;1204,899;66,284;12;330,224;False
7;2163540480;1336041912,34124;917,4433;41,09033;13;321,9384;False
8;2433833984;1255069139,39178;916,508;38,67145;11;258,684;False
9;3010569472;1543668154,72401;914,5021;34,91675;13;312,6344;False
10;2988357888;1783970639,25801;1036,254;42,01355;12;269,3177;False
11;2788615424;1789015377,57227;931,8281;37,10681;13;270,8224;False
12;2906209280;1527045757,42217;1206,651;57,59766;10;319,5078;False
13;2863371008;2000545241,00857;925,0453;36,28137;12;300,8468;False
14;3026080256;2076531332,4;1341,472;78,99963;13;281,817;False
15;3365685760;1949389678,4;910,0144;33,0387;12;293,6529;False
16;2990878976;1729221238,24961;907,5215;34,66211;12;293,6529;False
17;3301349632;1973934370,32211;923,2781;33,94922;11;322,2791;False
18;4637637120;2140474154,725;1611,949;105,24;13;303,2062;False
19;2865781760;2051320894,70605;1210,355;58,75635;12;282,9805;False
20;3469755136;2075962086,03566;921,7071;33,15039;12;255,4277;False
21;3290002176;2074749456,82837;910,2334;33,37451;12;281,5234;False
22;3230875392;2362162937,6;912,5629;33,75049;11;277,8186;False
23;4410905600;2458685304,68161;1583,384;103,9951;12;281,6919;False
24;3082970880;2226773459,2;1321,617;71,95508;12;281,6919;False
25;3480018432;2228747982,01327;919,1296;32,98901;12;270,4388;False
26;3373415424;2356694323,2;909,2127;32,96875;12;270,1208;False
27;4990774272;2385889719,42812;1610,028;86,10205;11;266,0888;False
28;3215565056;2095740078,259;1330,147;69,87842;11;266,0888;False
29;2886449408;1867459965,40255;927,7835;36,29541;12;269,403;False
30;3152633856;2080412232,39297;921,7682;34,5708;11;280,8351;False
