Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1247973248;212231372,429447;294,2805;17,26321;12;315,9773;False
2;1032002944;371685763,85272;278,9512;17,81423;11;315,6108;False
3;1373541376;294643596,028516;324,3209;21,56429;13;338,3717;False
4;12755936256;1508730250,06652;547;23,32489;12;316,4412;True
5;13859478528;1194436871,31086;547;20,46576;13;288,6261;True
6;11658993664;1161523053,4076;547;27,34772;12;299,8633;True
7;12924032000;1552069567,55938;547;22,82755;13;298,7839;True
8;5299948544;1310753300,66689;524,3978;24,24887;12;300,991;False
9;4093288704;718985507,757636;462,9418;20,93375;11;295,0573;False
10;4295297536;1251955050,13652;464,356;19,98734;11;295,0261;False
11;13729182720;2003530530,49727;547;20,759;11;302,3125;True
12;13265187840;1881341913,88465;547;21,89246;10;290,3599;True
13;5376402432;1007782569,49389;528,4896;24,5451;9;289,8155;False
14;13697112064;4013867129,6;547;20,83276;9;288,8835;True
15;3361297408;1465506508,7375;434,3266;21,07611;11;292,3292;False
16;12654628864;1657096694,16296;547;23,63745;11;292,0422;True
17;13289513984;3611419390,38269;547;21,82928;11;292,9863;True
18;12181243904;2614898679,6;547;25,24243;10;291,2117;True
19;2355645952;949316845,36582;375,2739;19,12799;9;290,1801;False
20;13561304064;1495781937,3168;547;21,15234;10;287,4937;True
21;13664465920;1480703129,0822;547;20,90851;10;288,958;True
22;13351092224;1766458045,52972;547;21,67133;10;288,147;True
23;14298025984;2284307010,19235;547;19,54883;11;290,4741;True
24;14324234240;2303097795,1;547;19,49719;10;291,7693;True
25;12612316160;2040917988,06382;547;23,771;11;295,1253;True
26;4941404672;936334799,959395;527,7072;27,48462;10;295,4725;False
27;13274897408;1801064303,73986;547;21,86719;10;294,8739;True
28;14396611584;1563609026,45624;547;19,35632;10;291,5781;True
29;4916630528;1091697524,62576;494,2954;21,27466;9;292,8026;False
30;8252667392;1450711751,0625;600,7062;23,14539;10;290,723;False
