Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;2830036736;227675875,206888;434,8068;26,55594;12;258,7054;False
2;1488288128;344906204,056783;348,2697;25,69753;12;282,7851;False
3;2442399744;540529464,720853;374,0061;18,16935;12;280,3018;False
4;4459789312;566021120,002702;497,4039;24,71439;14;307,161;False
5;2334412032;624143168,029961;404,529;25,6653;13;285,3111;False
6;3442796288;623441658,559937;435,625;20,69896;14;300,6137;False
7;2539479808;513647327,812515;403,0744;22,60464;13;295,3343;False
8;3372077312;905834115,600887;434,3068;20,99115;14;296,3456;False
9;13235058688;1833725111,90854;547;21,97131;14;295,625;True
10;2489140224;888295717,818414;404,3683;23,48795;14;297,6201;False
11;3587780352;638430078,763785;466,7962;25,65573;11;295,7071;False
12;3614685440;971543878,104492;465,2308;25,03778;12;296,8113;False
13;13664073728;1281622794,45384;547;20,90942;13;296,3645;True
14;2469452288;957685419,07821;376,0902;18,28198;12;296,5394;False
15;1998521728;615818559,040625;346,5289;17,62213;12;294,6142;False
16;4452568064;1015849438,94922;492,5785;23,81354;11;290,8429;False
17;13048574976;1390365693,95313;547;22,47516;11;295,6643;True
18;2582812928;405156923,804243;376,2402;17,44147;13;297,0074;False
19;13719985152;2043710321,15869;547;20,78009;13;298,8188;True
20;5167159808;1634000725,6793;527,0061;25,62585;14;298,7733;False
21;13331249152;1294210641,53481;547;21,72192;13;296,9653;True
22;3931190016;830505077,324139;466,0033;22,55377;12;296,4739;False
23;5944171520;1114099438,79369;526,728;21,29712;12;294,3254;False
24;4396729856;1086791440,40897;469,6025;20,23145;12;290,6877;False
25;2123310848;592854267,593555;374,4862;21,45532;11;293,8378;False
26;4435880960;1023915504,69059;492,0964;23,83936;12;297,7266;False
27;2477263616;757996547,40589;373,8074;17,86145;10;287,7558;False
28;4469263360;779932982,211061;492,313;23,64539;12;297,4424;False
29;4466739200;913391242,108186;526,0102;31,70068;13;304,9933;False
30;3541296896;957141765,692188;437,4622;20,31934;10;289,5221;False
