Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;894847040;129506657,840368;295,5633;26,30326;14;329,2125;False
2;1639384960;294897597,359595;345,7918;21,97968;14;416,2893;False
3;2836985344;634860027,340091;432,8765;25,96371;14;329,5145;False
4;4750638592;1244394835,9001;496,3948;22,55951;14;394,191;False
5;3142080512;649703118,80885;431,9287;22,44684;14;330,2831;False
6;12514024448;1809760014,3625;547;24,08832;14;333,3023;True
7;3101874688;924874102,471275;434,7817;23,41064;14;333,4093;False
8;4995222016;1175044573,86975;498,156;21,47034;14;335,0831;False
9;5995851264;1800052693,88931;531,292;21,75323;14;333,2059;False
10;5872467456;1330198316,4;532,4007;22,50443;14;320,8379;False
11;3839926528;1242646029,8543;462,4603;22,5708;14;333,3035;False
12;13653613568;1909214181,00034;547;20,93384;13;339,1721;True
13;5954894848;847588345,31875;526,6283;21,23566;14;342,8656;False
14;12352673792;1412350577,01974;547;24,63184;14;317,9542;True
15;2464904192;1097204248,6;379,2766;18,83966;13;339,1728;False
16;13457853440;1907383443,59766;547;21,40393;13;339,1728;True
17;3017501440;567260682,71666;435,1642;24,36951;14;333,0395;False
18;2837485312;663860278,550202;435,3693;26,60382;14;341,8909;False
19;3837398784;1038691458,07578;434,0506;18,06787;13;343,0359;False
20;12288101376;1446365165,17734;547;24,85767;13;337,8519;True
21;11198223360;1708928626,05407;547;29,58679;13;341,3756;True
22;12079731712;1450395530,99273;547;25,62134;13;343,4454;True
23;3059988480;1031567112,1775;433,125;23,47644;13;343,9838;False
24;5038026752;1356557054,36143;495,3007;20,80884;13;339,9871;False
25;4460573696;957847764,065717;496,8116;24,58862;13;339,9871;False
26;3796549376;1138410593,72386;464,5318;23,30298;14;340,8901;False
27;4476758528;1519986915,61037;495,827;24,27258;12;335,538;False
28;13796456448;2347096234,03156;547;20,60632;13;339,1764;True
29;12912292864;3046669776,38125;547;22,86145;12;342,0976;True
30;13264718848;2573340570,00001;547;21,89368;13;339,8171;True
