Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1923719424;217811846,424022;351,367;19,23836;14;351,493;False
2;3657622016;575285982,16997;466,7695;24,97236;14;351,493;False
3;3894231808;1349375334,88323;497,1353;30,08874;12;347,4387;False
4;4184342272;1015281248,38362;494,102;26,2704;13;350,103;False
5;2946585856;1275372452,51798;430,7141;24,13956;13;349,9953;False
6;4427912704;1691585630,65212;497,4579;24,96931;13;350,9385;False
7;3241902848;1505677518,1;435,7551;22,31042;12;350,4382;False
8;4729012736;1141340740,1107;530,3923;30,09082;13;347,5188;False
9;13417620480;2208765857,6;547;21,50375;13;350,9461;True
10;3304599040;1244349104,7;436,8646;21,98972;12;348,7252;False
11;3077346048;1420338499,2;432,0279;23,07413;13;351,6176;False
12;5144974848;1542640527,2;527,1739;25,81586;12;351,6237;False
13;13006138368;2710070030,43945;547;22,59375;13;349,0333;True
14;13351500800;4009706868,10884;547;21,67029;13;348,2332;True
15;13641126912;2758112975,11211;547;20,96307;14;351,6148;True
16;5977936384;2135218986,02554;586,4135;33,61914;13;352,8184;False
17;13266803712;3110229885,6;547;21,88824;13;345,5466;True
18;13176744960;3118084418,4;547;22,12592;13;351,6978;True
19;11549054976;2437477416;547;27,8454;13;351,7352;True
20;13084349440;3644841791,45;547;22,37634;13;350,5063;True
21;5421872128;2050098113,6;530,9702;24,73364;13;350,5368;False
22;13146338304;2615748866,83703;547;22,20758;13;350,9696;True
23;12268007424;3174585108,8;547;24,92896;13;349,9635;True
24;12826476544;3125713386,7;547;23,11304;13;351,1628;True
25;13069542400;3392058393,6;547;22,41711;13;351,5444;True
26;13587623936;4454119509,28686;547;21,08948;13;350,5086;True
27;13424856064;3525265384;547;21,48572;13;350,5269;True
28;12100532224;2744535413,4;547;25,5426;13;350,7871;True
29;5726874112;2498400300,8;527,6403;22,4519;13;350,7871;False
30;13279127552;2545046044,8;547;21,8562;13;350,1378;True
