Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;602524288;69325710,3318848;218,812;14,7059;12;413,6842;False
2;2104040064;360499092,652511;376,508;22,13908;13;279,8311;False
3;1224131584;369607130,722754;325,521;25,43806;12;413,198;False
4;3723587072;788869801,34375;460,9336;23,18428;11;396,1392;False
5;2660099840;838521786,433179;407,7773;22,2744;13;397,2061;False
6;2313317632;620281717,094531;402,4245;25,43065;11;338,4091;False
7;2250348544;1023907180,27706;379,2475;20,93442;11;397,352;False
8;3447250944;1138117685,6351;432,9071;20,21228;10;396,3422;False
9;3250165504;992429548,95;432,1066;21,55109;12;395,7628;False
10;2847667456;986897762,5375;430,0419;25,12601;11;387,5637;False
11;4254647296;1367815374,8;492,2565;25,2598;12;423,9491;False
12;3872386048;1645645560,81875;465,2801;22,8562;10;397,3723;False
13;2700474368;1276818982,04709;407,1897;21,74091;12;386,3841;False
14;2973810944;956844367,058594;435,0085;24,8208;12;376,199;False
15;2438150400;652571515,080469;403,2405;23,87299;12;394,0622;False
16;4417222656;1163168240,83226;497,3562;25,03131;11;404,8604;False
17;2710428672;880293807,015625;429,7775;26,87592;11;418,1525;False
18;4848624128;1321186325,5125;524,0729;27,41254;11;391,2941;False
19;13067729920;1494140320,55748;547;22,42212;9;429,8269;True
20;8158719488;1199369828,99082;603,7299;23,96631;9;430,7832;False
21;12764994560;2587743515,73125;547;23,29742;12;395,4128;True
22;14135677952;1977427728,99044;547;19,87634;12;395,4128;True
23;13971490816;2664156748,8;547;20,22162;11;395,3961;True
24;13233944576;2167773847,9;547;21,97424;12;394,9263;True
25;11178989568;2432557868,8;547;29,6897;11;393,776;True
26;12663284736;2720302745,6;547;23,61035;11;393,8166;True
27;12497934336;1762931195,77446;547;24,14124;11;394,5542;True
28;12973743104;2435244964;547;22,6853;12;396,7186;True
29;13340186624;3201690197,6;547;21,6991;12;396,7186;True
30;13102480384;3548602191,40837;547;22,32666;12;395,9709;True
