Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1220906624;156486535,916915;296,3176;18,06813;12;390,4622;False
2;2986672384;458267378,941789;463,0682;32,79055;12;382,5226;False
3;4224017152;892404602,389034;463,868;20,3082;12;382,5226;False
4;2351673088;788452786,680323;399,2921;24,08362;12;390,4622;False
5;5592789504;1238384643,01369;527,1535;23,06201;12;382,5226;False
6;3065951488;939465999,281476;434,4565;23,7019;12;382,5226;False
7;13780222976;1645071014,85176;547;20,64291;12;392,2167;True
8;13399857152;2337267298,53939;547;21,54819;12;391,0957;True
9;4244698368;1609605968,82578;463,5421;20,14188;12;391,8408;False
10;3570391296;1204429095;433,8437;19,55148;12;409,7814;False
11;3697321728;1012925654,26151;466,0678;24,45667;13;391,2081;False
12;3648749568;895097807,45916;462,8434;24,20746;13;391,2081;False
13;4184251648;1001143169,76289;498,626;27,33362;12;368,9371;False
14;13092556800;2028271862,38631;547;22,35382;12;390,9622;True
15;4748385792;1236523636,3762;525,4271;28,61572;12;393,4719;False
16;4152586752;986089516,154688;492,0934;26,09875;12;392,6516;False
17;4424487936;1472896439,82451;493,2021;24,13684;12;392,4924;False
18;13061015552;1751843677,79223;547;22,44067;12;393,4789;True
19;3437423616;1389780632,3375;463,3515;26,41589;12;393,4789;False
20;12238765056;1540131588,54322;547;25,03357;11;393,7078;True
21;5541588480;1627628118,2513;526,7816;23,27502;11;393,7078;False
22;4543652864;1038162041,54756;492,97;23,26099;13;396,8354;False
23;11493367808;1853992844,29028;547;28,10571;12;394,2619;True
24;13346845696;2382439009,0375;547;21,68213;13;397,7534;True
25;12441664512;1609730751,52976;547;24,32849;13;397,7534;True
26;13494805504;3043895080;547;21,31323;13;397,7534;True
27;13551591424;2477623323,2;547;21,17566;13;398,4658;True
28;3239500800;1480611178,45;435,6965;22,31995;13;398,8977;False
29;13239520256;2058063091,74722;547;21,95959;13;398,4908;True
30;13244545024;3094370217,7;547;21,94641;13;397,2072;True
