Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;455972128;53100231,4037621;197,9253;14,40131;12;379,9107;False
2;1404509312;335216626,264893;324,3254;20,98683;11;386,9077;False
3;3581829120;888179090,196832;465,8666;25,50113;12;341,3608;False
4;13543227392;1345243714,34067;547;21,19579;11;364,0963;True
5;13625972736;1908436139,25659;547;20,99869;11;377,0537;True
6;13512257536;2146565265,45485;547;21,27072;11;377,0537;True
7;13259676672;2774038910,4;547;21,90683;11;377,0537;True
8;13782006784;3991832358,67664;547;20,63889;11;376,7683;True
9;14437234688;2113017253,3778;547;19,27835;12;342,5138;True
10;15258780672;3223654437,87399;547;17,85208;12;342,5138;True
11;13974048768;3090501418,33813;547;20,21613;13;380,0828;True
12;4962638848;1743846848,45;500,1226;21,96411;12;342,4034;False
13;13640527872;2675610620,8;547;20,96448;13;344,0665;True
14;12699077632;2509737886,02244;547;23,49908;13;344,0665;True
15;14112182272;3188034061,86286;547;19,92487;12;345,2419;True
16;13715229696;3451473084,4;547;20,79102;13;346,6296;True
17;13882478592;2677597016,43125;547;20,41504;13;348,3542;True
18;13503665152;2529119946,60234;547;21,29163;13;348,868;True
19;13402352640;3390280040,98842;547;21,54193;13;346,4236;True
20;13806347264;2780206805,14111;547;20,58411;13;349,5104;True
21;14224108544;3897532889,6;547;19,69629;13;348,9634;True
22;13946932224;3069412299,86511;547;20,27454;13;351,1861;True
23;5549914112;1793412880,51563;528,6355;23,552;13;351,0052;False
24;14089236480;1940292290,05342;547;19,97253;13;350,1152;True
25;13965158400;2300030281,78594;547;20,23523;13;350,1152;True
26;13700759552;3925560275,2;547;20,82434;13;350,1061;True
27;12050865152;2698156763,08822;547;25,73157;13;350,5114;True
28;12651787264;2236434909,00513;547;23,64636;13;350,1899;True
29;14130760704;2751878553,6;547;19,88647;12;348,0586;True
30;11637174272;2241721366,4;547;27,44482;13;350,0119;True
