Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1254732928;141142925,649878;294,6225;17,22842;11;339,2905;False
2;3511041024;812040243,125271;461,339;25,17251;13;316,3687;False
3;13676480512;2742334753,83012;547;20,88055;10;338,1386;True
4;13078866944;1815685319,44984;547;22,39142;10;338,6404;True
5;5757709312;1366450996,12797;524,0261;21,73215;11;336,705;False
6;12859430912;1896668019,4;547;23,01564;12;346,5521;True
7;13118880768;3345625655,825;547;22,28195;10;327,593;True
8;12306310144;2672614610,35;547;24,79349;11;344,275;True
9;3236504576;1614614215,2;433,1834;21,8649;11;334,8429;False
10;2907116800;1062270795,84941;405,8595;19,67517;11;343,3002;False
11;4797907456;2038588989,75;497,4183;22,45303;9;338,0974;False
12;12920698880;2516103085,35313;547;22,83716;11;343,2457;True
13;12442408960;1811285252,8;547;24,32599;11;344,0346;True
14;13074323456;2161263572,67269;547;22,40393;10;345,1157;True
15;11941697536;2507817594,27344;547;26,15881;11;347,4672;True
16;13391652864;2495236732,27054;547;21,56879;10;343,7292;True
17;13374599168;2037226351,23109;547;21,61176;10;343,0441;True
18;12899281920;1463120549,25;547;22,89917;10;342,7945;True
19;14362990592;2298292560,92969;547;19,42145;10;346,9229;True
20;14336467968;3321978353,675;547;19,47321;9;339,5302;True
21;12951851008;3432086060,8;547;22,74768;10;348,5673;True
22;14415545344;3686440393,03281;547;19,31989;12;349,3971;True
23;13868899328;2862992544,24785;547;20,44495;12;349,3971;True
24;14345924608;4099721413,6;547;19,45471;10;344,4499;True
25;13260225536;2900364735,54687;547;21,9054;11;351,999;True
26;13789787136;4012432988;547;20,62134;11;346,8477;True
27;14462639104;2958081542,4;547;19,22998;9;339,6812;True
28;13939991552;2844306045,28855;547;20,28955;10;344,9679;True
29;14173326336;3767300134,5;547;19,79919;10;344,3383;True
30;13824512000;3220307833,6;547;20,54346;10;344,1468;True
